country_name,REGION,SUBREGION,UN,spatial,temporal,V2022,V2024S1T5,f_file_name
Bosnia and Herzegovina,150,39,70,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/dz010s09q),bosnia_and_herzegovina_s5t11
Botswana,2,18,72,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/b8515p69g),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/nv9354593),botswana_s1t1
Brazil,19,5,76,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/05741s90q),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/b8515q25m),brazil_s1t2
British Indian Ocean Territory,2,14,86,3,8,,,british_indian_ocean_territory_s3t8
British Virgin Islands,19,29,92,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/x633f230f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/jq085m540),british_virgin_islands_s3t8
Brunei,142,35,96,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/mp48sd92p),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/0v8382100),brunei_s1t2
Bulgaria,150,151,100,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),,bulgaria_s5t11
Burkina Faso,2,11,854,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/9g54xj875),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x633f2869),burkina_faso_s1t1
Burundi,2,14,108,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/3f462659h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/vt150k986),burundi_s1t1
Cabo Verde,2,11,132,1,1,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/v692t782j),cabo_verde_s1t1
Cambodia,142,35,116,1,2,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/2r36v0354),cambodia_s1t2
Cameroon,2,17,120,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/x920fz208),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/d217qr28g),cameroon_s1t1
Canada,19,21,124,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/gf06g388c),[2001-2024](https://scholar.colorado.edu/concern/datasets/0p096866d),canada_s5t11
Cayman Islands,19,29,136,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/x633f230f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/0r967557n),cayman_islands_s3t8
Central African Republic,2,17,140,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/pv63g1576),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/zp38wf351),central_african_republic_s1t1
Chad,2,17,148,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/707958762),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/s4655j45w),chad_s1t1
Chile,19,5,152,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/qr46r2052),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/g732db604),chile_s3t8
China,142,30,156,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/qz20st810),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/tt44pp77n),china_s3t8
Colombia,19,5,170,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/mp48sd91d),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/8c97ks03f),colombia_s1t2
Comoros,2,14,174,1,1,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/s7526f22t),comoros_s1t1
Cook Islands,9,61,184,3,8,,,cook_islands_s3t8
Costa Rica,19,13,188,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/vd66w1102),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/mc87pr85g),costa_rica_s3t8
Croatia,150,39,191,5,11,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/kh04dr144),croatia_s5t11
Cuba,19,29,192,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/x633f230f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5712m8365),cuba_s3t8
Curacao,19,29,531,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/ws859h28b),curacao_s3t8
Cyprus,142,145,196,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/tx31qk48f),cyprus_s3t8
Czechia,150,151,203,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/fq977w613),czechia_s5t11
Democratic Republic of the Congo,2,17,180,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/5425kb88g),,[Nov 2000-Dec 2024 (s1t1)](https://scholar.colorado.edu/concern/datasets/4b29b780c)
Denmark,150,154,208,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/sb397945f),,denmark_s5t11
Djibouti,2,14,262,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/1831cm01x),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/rf55z935n),djibouti_s5t11
Dominica,19,29,212,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/hd76s170r),dominica_s3t8
Dominican Republic,19,29,214,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/x633f230f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/1j92g9289),dominican_republic_s3t8
East Timor,142,35,626,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/j098zc184),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/c247dt86h),east_timor_s3t8
Ecuador,19,5,218,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/pc289k34n),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5138jg700),ecuador_s1t2
Egypt,2,15,818,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/vm40xt27j),egypt_s5t11
El Salvador,19,13,222,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/vd66w1102),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/m613n034n),el_salvador_s3t8
Equatorial Guinea,2,17,226,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/vx021g32b),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/j67315565),equatorial_guinea_s3t8
Eritrea,2,14,232,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/5m60qt182),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/jd472x93p),eritrea_s1t1
Estonia,150,154,233,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/73666649m),estonia_s5t11
Eswatini,2,18,748,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/9w0324116),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/2j62s642s),eswatini_s1t1
Ethiopia,2,14,231,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/z316q2977),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/0c483m44k),ethiopia_s1t1
Falkland Islands,19,5,238,3,8,,,falkland_islands_s3t8
Faroe Islands,150,154,234,5,11,,,faroe_islands_s5t11
Federated States Of Micronesia,9,57,583,3,8,,,federated_states_of_micronesia_s3t8
Fiji,9,54,242,3,8,,,fiji_s3t8
Finland,150,154,246,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/6395w836j),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/pk02cc33v),finland_s5t11
France,150,155,250,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/v692t736f),,france_s5t11
French Guiana,19,5,254,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/qv33rx839),,french_guiana_s3t8
French Polynesia,9,61,258,3,8,,,french_polynesia_s3t8
French Southern and Antarctic Lands,10,14,260,3,8,,,french_southern_and_antarctic_lands_s3t8
Gabon,2,17,266,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/2z10wr67h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5x21th08t),gabon_s1t1
Gambia,2,11,270,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/pn89d7911),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/3t945s634),gambia_s1t1
Georgia,142,145,268,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/gf06g385j),,georgia_s3t8
Germany,150,155,276,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/v692t736f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/6w924d770),germany_s5t11
Ghana,2,11,288,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/2r36tz735),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/79408001x),ghana_s1t1
Greece,150,39,300,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/bc386k355),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/z316q349s),greece_s5t11
Greenland,19,21,304,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/bv73c218z),greenland_s3t8
Grenada,19,29,308,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/9880vs50z),grenada_s3t8
Guadeloupe,19,29,312,3,8,[Nov 2001-Mar 2021](https://scholar.colorado.edu/concern/datasets/x633f230f),,guadelopupe_and_martinique_s3t8
Martinique,19,29,474,3,8,[Nov 2001-Mar 2021](https://scholar.colorado.edu/concern/datasets/x633f230f),,guadelopupe_and_martinique_s3t8
Guam,9,57,316,3,8,,,guam_s3t8
Guatemala,19,13,320,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/vd66w1102),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/nv935460v),guatemala_s3t8
Guernsey,150,154,831,5,11,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/bz60cx90j),guernsey_s5t11
Guinea,2,11,324,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/05741s910),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/02870x464),guinea_s1t1
Guinea Bissau,2,11,624,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/nc580n858),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/k643b3048),guinea_bissau_s1t1
Guyana,19,5,328,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/qv33rx839),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5h73pz00k),guyana_s3t8
Haiti,19,29,332,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/x633f230f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/707959237),haiti_s3t8
Heard Island and Mcdonald Islands,10,53,334,3,8,,,heard_island_and_mcdonald_islands_s3t8
Honduras,19,13,340,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/vd66w1102),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/n296x082p),honduras_s3t8
Hong Kong,142,30,344,5,11,,,hong_kong_s5t11
Hungary,150,151,348,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/bc386m008),hungary_s5t11
Iceland,150,154,352,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/sb397945f),,iceland_s5t11
India,142,34,356,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/ht24wk47t),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/cv43nz55k),india_s1t2
Indian Ocean Territories,9,53,36,3,8,,,indian_ocean_territories_s3t8
Indonesia,142,35,360,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/p2676w918),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/3b591b55c),indonesia_s1t2
Iran,142,34,364,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/00000172f),iran_s3t8
Iraq,142,145,368,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/w95052166),iraq_s3t8
Ireland,150,154,372,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/pc289k33c),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/4m90dx459),ireland_s5t11
Isle Of Man,150,154,833,5,11,,,isle_of_man_s5t11
Israel,142,145,376,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5m60qt777),israel_s3t8
Italy,150,39,380,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/v979v416g),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/tb09j7441),italy_s5t11
Ivory Coast,2,11,384,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/vq27zp62f),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/rj430651d),ivory_coast_s1t1
Jamaica,19,29,388,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/x633f230f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/xg94hr218),jamaica_s3t8
Japan,142,30,392,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/dz010r34v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/zk51vj85q),japan_s3t8
Jersey,150,154,832,5,11,,,jersey_s5t11
Jordan,142,145,400,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),,jordan_s5t11
Kazakhstan,142,143,398,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/47429b07v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/1r66j289k),kazakhstan_s3t8
Kenya,2,14,404,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/1j92g871c),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/v405sc03w),kenya_s1t1
Kiribati,9,57,296,3,8,,,kiribati_s3t8
Kosovo,150,39,688,5,11,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/f1881n864),kosovo_s5t11
Kuwait,142,145,414,5,11,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/z316q350j),kuwait_s5t11
Kyrgyzstan,142,143,417,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/47429b07v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/3197xn61c),kyrgyzstan_s3t8
Laos,142,35,418,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/bz60cx389),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/gq67js85b),laos_s1t2
