Region,Country,V2022,V2024S1T5
South America,Guyana,[2001-2021](https://scholar.colorado.edu/concern/datasets/qv33rx839),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5h73pz00k)
South America,Paraguay,[2001-2021](https://scholar.colorado.edu/concern/datasets/rb68xd05p),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/fn1070729)
South America,Peru,[2001-2021](https://scholar.colorado.edu/concern/datasets/x346d5616),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/wh246t78k)
South America,Suriname,[2001-2021](https://scholar.colorado.edu/concern/datasets/qv33rx839),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/n583xw60q)
South America,Uruguay,[2001-2021](https://scholar.colorado.edu/concern/datasets/q524jq130),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/q237ht604)
South America,Venezuela,[2001-2021](https://scholar.colorado.edu/concern/datasets/7m01bm95m),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/c534fq76h)
South America,French Guiana,[2001-2021](https://scholar.colorado.edu/concern/datasets/qv33rx839),
Europe,Aland,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5138jg697)
Europe,Albania,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/wp988m53f)
Europe,Andorra,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/xp68kh87x)
Europe,Belarus,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/r781wh632)
Europe,Belgium,[2001-2021](https://scholar.colorado.edu/concern/datasets/v692t736f),[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/hh63sx489)
Europe,Bosnia and Herzegovina,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/dz010s09q)
Europe,Bulgaria,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),
Europe,Croatia,,[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/kh04dr144)
Europe,Cyprus,,[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/tx31qk48f)
Europe,Czechia,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/fq977w613)
Europe,Estonia,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/73666649m)
Europe,Finland,[2001-2021](https://scholar.colorado.edu/concern/datasets/6395w836j),[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/pk02cc33v)
Europe,Germany,[2001-2021](https://scholar.colorado.edu/concern/datasets/v692t736f),[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/6w924d770)
Europe,Greece,[2001-2021](https://scholar.colorado.edu/concern/datasets/bc386k355),[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/z316q349s)
Europe,Greenland,,[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/bv73c218z)
Europe,Guernsey,,[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/bz60cx90j)
Europe,Hungary,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/bc386m008)
Europe,Ireland,[2001-2021](https://scholar.colorado.edu/concern/datasets/pc289k33c),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/4m90dx459)
Europe,Italy,[2001-2021](https://scholar.colorado.edu/concern/datasets/v979v416g),[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/tb09j7441)
Europe,Kosovo,,[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/f1881n864)
Europe,Latvia,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/fn1070711)
Europe,Liechtenstein,,[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/f7623f56w)
Europe,Lithuania,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/qb98mg925)
Europe,Macedonia,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July  2024](https://scholar.colorado.edu/concern/datasets/g158bj86s)
Europe,Malta,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/sx61dp12d)
Europe,Moldova,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/d217qr276)
Europe,Monaco,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/2514nn122)
Europe,Montenegro,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/1g05fd436)
Europe,Netherlands,[2001-2021](https://scholar.colorado.edu/concern/datasets/v692t736f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/0k225c86c)
Europe,Northern Cyprus,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/4m90dx238)
Europe,Norway,[2001-2021](https://scholar.colorado.edu/concern/datasets/sb397945f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/70795924h)
Europe,Poland,[2001-2021](https://scholar.colorado.edu/concern/datasets/v692t736f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/4b29b7569)
Europe,Portugal,[2001-2021](https://scholar.colorado.edu/concern/datasets/gb19f7006),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/f4752j497)
Europe,Romania,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/w3763834n)
Europe,San Marino,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/zk51vj568)
Europe,Republic of Serbia,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5h73pz01v)
Europe,Slovakia,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/cr56n2793)
Europe,Slovenia,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/tq57ns75v)
Europe,Spain,[2001-2021](https://scholar.colorado.edu/concern/datasets/gb19f7006),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/xw42n953k)
Europe,Sweden,[2001-2021](https://scholar.colorado.edu/concern/datasets/sb397945f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/1j92g930b)
Europe,Switzerland,[2001-2021](https://scholar.colorado.edu/concern/datasets/v692t736f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/1g05fd42x)
Europe,Ukraine,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/08612q18f)
Europe,United Kingdom,[2001-2021](https://scholar.colorado.edu/concern/datasets/pc289k33c),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/sf268684c)
Europe,France,[2001-2021](https://scholar.colorado.edu/concern/datasets/v692t736f),
Europe,Austria,[2001-2021](https://scholar.colorado.edu/concern/datasets/v692t736f),
Europe,Luxembourg,[2001-2021](https://scholar.colorado.edu/concern/datasets/v692t736f),
Europe,Turkey,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),
Europe,Denmark,[2001-2021](https://scholar.colorado.edu/concern/datasets/sb397945f),
Europe,Iceland,[2001-2021](https://scholar.colorado.edu/concern/datasets/sb397945f),
Africa,Algeria,[2001-2021](https://scholar.colorado.edu/concern/datasets/8910jv77j),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/bc386k800)
Africa,Angola,[2001-2021](https://scholar.colorado.edu/concern/datasets/t435gf21z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/d504rn23b)
Africa,Benin,[2001-2021](https://scholar.colorado.edu/concern/datasets/z603qz58m),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/fb494b180)
Africa,Botswana,[2001-2021](https://scholar.colorado.edu/concern/datasets/b8515p69g),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/nv9354593)
Africa,Burundi,[2001-2021](https://scholar.colorado.edu/concern/datasets/3f462659h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/vt150k986)
Africa,Burkina Faso,[2001-2021](https://scholar.colorado.edu/concern/datasets/9g54xj875),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x633f2869)
Africa,Cabo Verde,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/v692t782j)
Africa,Cameroon,[2001-2021](https://scholar.colorado.edu/concern/datasets/x920fz208),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/d217qr28g)
Africa,Central African Republic,[2001-2021](https://scholar.colorado.edu/concern/datasets/pv63g1576),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/zp38wf351)
Africa,Chad,[2001-2021](https://scholar.colorado.edu/concern/datasets/707958762),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/s4655j45w)
Africa,Comoros,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/s7526f22t)
Africa,Democratic Republic of the Congo,[2001-2021](https://scholar.colorado.edu/concern/datasets/5425kb88g),
Africa,Djibouti,[2001-2021](https://scholar.colorado.edu/concern/datasets/1831cm01x),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/rf55z935n)
Africa,Egypt,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/vm40xt27j)
Africa,Equatorial Guinea,[2001-2021](https://scholar.colorado.edu/concern/datasets/vx021g32b),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/j67315565)
Africa,Eritrea,[2001-2021](https://scholar.colorado.edu/concern/datasets/5m60qt182),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/jd472x93p)
Africa,eSwatini,[2001-2021](https://scholar.colorado.edu/concern/datasets/9w0324116),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/2j62s642s)
Africa,Ethiopia,[2001-2021](https://scholar.colorado.edu/concern/datasets/z316q2977),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/0c483m44k)
Africa,Gabon,[2001-2021](https://scholar.colorado.edu/concern/datasets/2z10wr67h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5x21th08t)
Africa,Gambia,[2001-2021](https://scholar.colorado.edu/concern/datasets/pn89d7911),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/3t945s634)
Africa,Ghana,[2001-2021](https://scholar.colorado.edu/concern/datasets/2r36tz735),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/79408001x)
Africa,Guinea,[2001-2021](https://scholar.colorado.edu/concern/datasets/05741s910),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/02870x464)
Africa,Guinea Bissau,[2001-2021](https://scholar.colorado.edu/concern/datasets/nc580n858),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/k643b3048)
Africa,Ivory Coast,[2001-2021](https://scholar.colorado.edu/concern/datasets/vq27zp62f),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/rj430651d)
Africa,Kenya,[2001-2021](https://scholar.colorado.edu/concern/datasets/1j92g871c),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/v405sc03w)
Africa,Lesotho,[2001-2021](https://scholar.colorado.edu/concern/datasets/cr56n229w),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/w6634543v)
Africa,Liberia,[2001-2021](https://scholar.colorado.edu/concern/datasets/6h440t58k),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qv33rz453)
Africa,Libya,[2001-2021](https://scholar.colorado.edu/concern/datasets/8910jv77j),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/z890rv992)
Africa,Madagascar,[2001-2021](https://scholar.colorado.edu/concern/datasets/fb494955x),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/pv63g217f)
Africa,Malawi,[2001-2021](https://scholar.colorado.edu/concern/datasets/5999n464m),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/t722hb67t)
Africa,Mali,[2001-2021](https://scholar.colorado.edu/concern/datasets/pr76f4544),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/td96k433q)
Africa,Mauritania,[2001-2021](https://scholar.colorado.edu/concern/datasets/x059c864s),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/v979v479r)
Africa,Mauritius,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/1831cm54z)
Africa,Morocco,[2001-2021](https://scholar.colorado.edu/concern/datasets/td96k3751),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qj72p8679)
Africa,Mozambique,[2001-2021](https://scholar.colorado.edu/concern/datasets/1n79h5504),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/2n49t338q)
Africa,Namibia,[2001-2021](https://scholar.colorado.edu/concern/datasets/db78td244),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5999n508g)
Africa,Niger,[2001-2021](https://scholar.colorado.edu/concern/datasets/m039k605q),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qn59q5683)
Africa,Nigeria,[2001-2021](https://scholar.colorado.edu/concern/datasets/cv43nx78p),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/j6731584b)
Africa,Republic of the Congo,[2001-2021](https://scholar.colorado.edu/concern/datasets/nk322f305),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/t435gf783)
Africa,Rwanda,[2001-2021](https://scholar.colorado.edu/concern/datasets/st74cr782),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/jw827d403)
Africa,Sao Tome and Principe,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/2227mr49g)
Africa,Senegal,[2001-2021](https://scholar.colorado.edu/concern/datasets/tt44pp176),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/v118rg081)
Africa,Sierra Leone,[2001-2021](https://scholar.colorado.edu/concern/datasets/5712m779r),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/r781wh64b)
Africa,Somalia,[2001-2021](https://scholar.colorado.edu/concern/datasets/xd07gt798),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/q524jq68k)
Africa,Somaliland,[2001-2021](https://scholar.colorado.edu/concern/datasets/8c97kr53f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/08612q175)
Africa,South Africa,[2001-2021](https://scholar.colorado.edu/concern/datasets/rf55z8833),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/z603r0092)
Africa,South Sudan,[2001-2021](https://scholar.colorado.edu/concern/datasets/b2773w89g),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/1g05fd479)
Africa,Sudan,[2001-2021](https://scholar.colorado.edu/concern/datasets/g158bj37v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/9880vs542)
Africa,Tanzania,[2001-2021](https://scholar.colorado.edu/concern/datasets/7w62f947x),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/76537320w)
Africa,Togo,[2001-2021](https://scholar.colorado.edu/concern/datasets/fj236325p),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qf85nd104)
Africa,Tunisia,[2001-2021](https://scholar.colorado.edu/concern/datasets/8910jv77j),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/kp78gj27x)
Africa,Uganda,[2001-2021](https://scholar.colorado.edu/concern/datasets/hh63sx004),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/7d278v62s)
Africa,Zambia,[2001-2021](https://scholar.colorado.edu/concern/datasets/6108vc441),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qv33rz46c)
Africa,Zimbabwe,[2001-2021](https://scholar.colorado.edu/concern/datasets/f7623d95c),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/np193b769)
Asia,Afghanistan,[2001-2021](https://scholar.colorado.edu/concern/datasets/47429b07v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/rj4306237) 
Asia,Armenia,[2001-2021](https://scholar.colorado.edu/concern/datasets/gf06g385j),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/7h149r64k)
Asia,Azerbaijan,[2001-2021](https://scholar.colorado.edu/concern/datasets/gf06g385j),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qb98mg90m)
Asia,Bhutan,[2001-2021](https://scholar.colorado.edu/concern/datasets/n009w342h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/2b88qd74k)
Asia,Bangladesh,[2001-2021](https://scholar.colorado.edu/concern/datasets/d791sh33k),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5d86p199z)
Asia,Bahrain,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/c534fq70v)
Asia,Cambodia,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/2r36v0354)
Asia,China,[2001-2021](https://scholar.colorado.edu/concern/datasets/qz20st810),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/tt44pp77n)
Asia,India,[2001-2021](https://scholar.colorado.edu/concern/datasets/ht24wk47t),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/cv43nz55k)
Asia,Israel,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5m60qt777)
Asia,Iraq,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/w95052166)
Asia,Iran,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/00000172f)
Asia,Japan,[2001-2021](https://scholar.colorado.edu/concern/datasets/dz010r34v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/zk51vj85q)
Asia,Kazakhstan,[2001-2021](https://scholar.colorado.edu/concern/datasets/47429b07v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/1r66j289k)
Asia,Kuwait,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/z316q350j)
Asia,Kyrgyzstan,[2001-2021](https://scholar.colorado.edu/concern/datasets/47429b07v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/3197xn61c)
Asia,Lebanon,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qj72p8661)
Asia,Laos,[2001-2021](https://scholar.colorado.edu/concern/datasets/bz60cx389),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/gq67js85b)
Asia,Macao,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/3f4627044)
Asia,Mongolia,[2001-2021](https://scholar.colorado.edu/concern/datasets/4x51hk21h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5t34sm20v)
Asia,Myanmar,[2001-2021](https://scholar.colorado.edu/concern/datasets/pk02cb86p),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/bv73c2197)
Asia,Nepal,[2001-2021](https://scholar.colorado.edu/concern/datasets/mk61rj10w),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/c534fq757)
Asia,North Korea,[2001-2021](https://scholar.colorado.edu/concern/datasets/3j333327g),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/f7623f59q)
Asia,Oman,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/nz806134g)
Asia,Pakistan,[2001-2021](https://scholar.colorado.edu/concern/datasets/47429b07v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/8g84mn93n)
Asia,Palestine,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/nc580p37t)
Asia,Qatar,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/j098zc672)
Asia,Russia,[2001-2021](https://scholar.colorado.edu/concern/datasets/q811kk87t),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/f7623f60g)
Asia,Saudi Arabia,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/g732db61d)
Asia,South Korea,[2001-2021](https://scholar.colorado.edu/concern/datasets/pg15bg177),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/kw52j990z)
Asia,Sri Lanka,[2001-2021](https://scholar.colorado.edu/concern/datasets/9z9030982),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/ws859h30c)
